4 Ms,"Man/ woman, machine, material, and method (p-29)"
Affinity diagram,"A tool for gathering and grouping ideas, one of the new seven quality tools used in hoshin planning.(p-138)"
Andon,"A line stop, typically a cord that a worker can pull to stop the assembly line when he or she detects a defect, an example of Jidoka.(p-97)"
Autonomation,"""intelligent automation"" or ""automation with a human touch.""This type of automation implements some supervisory functions rather than production functions. (p-79)"
Availability,the percentage of time employees spend making effective contributions. (p-71)
Cell,"An arrangement of people machines, materials and methods such that processing steps are adjacent and in sequential order so that parts can be processed one at a time (or in some cases in a consistent small batch that is maintained through the process sequence). The purpose of a cell is to achieve and maintain efficient continuous flow. (p-53)"
Continuous flow,"In its purest form continuous flow means that items are processed and moved directly to the next process one piece at a time. Each processing step completes its work just before the next process needs the item and the transfer batch size is one. Also known as one piece flow and make one, move one. (p-70)"
Cycle Time:,"How often a part or product is completed by a process, as timed by observation. This time includes operating time plus the time required to prepare, load, and unload. The appropriate calculation of cycle time may depend upon context. (p-53)"
