515,Periodic Continuous Cash Flow,"A recurring cash flow happening evenly throughout each period, over a range of periods. For example, the depletion value in an operating mine decreases on the basis of a continuous cash flow as ore is removed daily. See also Discrete Periodic Cash Flow, Discrete Single Cash Flow, Discrete Continuous Cash Flow and Periodic Gradient Cash Flow.",EM558,0
516,Periodic Gradient Cash Flow,"A recurring cash flow happening each period. The amount of the cash flow increases as a gradient series: End Year 1: $x, end year 2: $2x, end year 3: $3x and so on. Accumulated depreciation is an example. See also Discrete Periodic Cash Flow, Discrete Single Cash Flow, Discrete Continuous Cash Flow and Periodic Continuous Cash Flow.",EM558,0
517,Present Worth of Annual Costs (PWAC),"An economic evaluator meaningful only when the rules and assumptions of a cost comparison economic analysis have been strictly adhered to. In addition, the degree of risk should be similar for each alternative. PWAC can also provide a profitability comparison under the same rules, thanks to the MAR component and consideration.",EM558,0
518,PWAC,Present Worth of Annual Costs.,EM558,0
519,Plant,"In this glossary, Plant refers to units under study. Although really a utilities-type term, its concept is equally applicable regardless of what one is costing, things as diverse as light bulbs, underground zinc mines, levies or railroad lines.",EM558,0
520,Removal Cost,A cash flow in a comparative or normal economic study relating to the gross cost of removal of retired property excluding any gross salvage.,EM558,0
521,Repeated Plant Assumption,"In a comparative economic study, each study alternative must provide the same service capacity and service life. This goal is achieved by repeating capital, revenue and expense cash flows from all the studies as necessary to terminate all studies at the same future time to provide an equal amount of service. Because monies have a smaller and smaller effect on the economic evaluators as the monies extend farther and farther into the future, some organizations will mandate that the studies will be truncated at some future point in time where the impact of truncation will hopefully be minimal.",EM558,0
522,Remaining Capital Balance,"The amount of capital for which the project is responsible to provide a return and repayment, at any given time during the study life. It equals the original amount less accumulated depreciation and tax credits to that point in time.",EM558,0
523,Revenue,"An incoming cash flow, part of a standard economic analysis. Note that revenue is excluded from a comparative cost study that assumes identical revenues for each plan.",EM558,0
524,Salvage,See Gross Salvage and Net Salvage,EM558,0
525,Tax Base,The term used instead of Un-depreciated Asset when capital cost allowance is used instead of depreciation.,EM558,0
526,Time Value of Money,"Because of interest, money today is worth more in the future. The inverse is also true.",EM558,0
